RMSE Adagrad MAP|3|0.05 : 10.264 \pm 0.261
RMSE RMSprop MAP|50|0.5|0.9 : 10.238 \pm 0.810
RMSE GD MAP|100|0.01 : 10.235 \pm 0.346
RMSE Adam MAP|5|0.5|0.5|0.5 : 10.226 \pm 0.441
RMSE Adam MAP|3|1.0|0.5|0.5 : 10.221 \pm 0.444
RMSE Adam MAP|25|0.05|0.9|0.9 : 10.219 \pm 0.442
RMSE RMSprop MAP|3|0.05|0.9 : 10.215 \pm 0.246
RMSE Adagrad MAP|50|0.01 : 10.198 \pm 0.256
RMSE RMSprop MAP|3|0.05|0.1 : 10.145 \pm 0.238
RMSE Adam MAP|3|0.05|0.1|0.1 : 10.120 \pm 0.250
RMSE GD MAP|10|0.1 : 10.115 \pm 0.349
RMSE RMSprop MAP|3|0.05|0.5 : 10.108 \pm 0.229
RMSE Adagrad MAP|5|0.05 : 10.104 \pm 0.235
RMSE Adagrad MAP|50|0.1 : 10.078 \pm 0.303
RMSE RMSprop MAP|25|0.01|0.9 : 10.073 \pm 0.248
RMSE RMSprop MAP|5|0.05|0.9 : 10.068 \pm 0.261
RMSE Adam MAP|10|0.01|0.9|0.9 : 10.047 \pm 0.247
RMSE Adagrad MAP|100|0.01 : 10.025 \pm 0.246
RMSE Adam MAP|25|0.05|0.5|0.5 : 10.015 \pm 0.345
RMSE RMSprop MAP|5|0.05|0.5 : 10.007 \pm 0.255
RMSE Adagrad MAP|10|0.05 : 10.005 \pm 0.248
RMSE Adam MAP|3|0.05|0.5|0.5 : 10.004 \pm 0.245
RMSE Adam MAP|25|0.1|0.5|0.5 : 9.984 \pm 0.461
RMSE Adam MAP|50|0.05|0.5|0.5 : 9.958 \pm 0.456
RMSE Adagrad MAP|3|0.1 : 9.944 \pm 0.245
RMSE Adam MAP|3|0.05|0.9|0.9 : 9.934 \pm 0.254
RMSE RMSprop MAP|5|0.05|0.1 : 9.933 \pm 0.263
RMSE RMSprop MAP|25|0.01|0.5 : 9.928 \pm 0.271
RMSE Adam MAP|3|0.5|0.5|0.5 : 9.922 \pm 0.366
RMSE RMSprop MAP|3|0.1|0.5 : 9.916 \pm 0.272
RMSE Adam MAP|5|0.05|0.1|0.1 : 9.868 \pm 0.278
RMSE Adam MAP|100|0.5|0.5|0.5 : 9.862 \pm 0.789
RMSE RMSprop MAP|3|0.1|0.1 : 9.844 \pm 0.286
RMSE RMSprop MAP|100|0.1|0.9 : 9.822 \pm 0.633
RMSE Adam MAP|25|0.01|0.1|0.1 : 9.816 \pm 0.276
RMSE Adagrad MAP|5|0.1 : 9.806 \pm 0.262
RMSE GD MAP|5|0.01 : 9.796 \pm 0.193
RMSE RMSprop MAP|3|0.5|0.1 : 9.782 \pm 0.316
RMSE RMSprop MAP|25|0.01|0.1 : 9.773 \pm 0.262
RMSE Adam MAP|3|0.1|0.1|0.1 : 9.749 \pm 0.288
RMSE Adam MAP|25|0.01|0.5|0.5 : 9.747 \pm 0.285
RMSE Adam MAP|3|1.0|0.9|0.9 : 9.743 \pm 0.435
RMSE GD MAP|1|0.05 : 9.738 \pm 0.183
RMSE Adam MAP|3|0.5|0.1|0.1 : 9.703 \pm 0.304
RMSE RMSprop MAP|10|1.0|0.5 : 9.702 \pm 0.571
RMSE Adam MAP|5|0.5|0.9|0.9 : 9.675 \pm 0.443
RMSE Adam MAP|5|0.05|0.5|0.5 : 9.670 \pm 0.290
RMSE Adam MAP|3|0.1|0.5|0.5 : 9.652 \pm 0.289
RMSE Adam MAP|3|0.1|0.9|0.9 : 9.610 \pm 0.281
RMSE Adam MAP|5|0.05|0.9|0.9 : 9.609 \pm 0.280
RMSE Adagrad MAP|3|0.5 : 9.605 \pm 0.298
RMSE RMSprop MAP|3|0.1|0.9 : 9.603 \pm 0.255
RMSE Adam MAP|10|0.1|0.5|0.5 : 9.517 \pm 0.288
RMSE Adam MAP|50|0.01|0.9|0.9 : 9.471 \pm 0.300
RMSE Adam MAP|100|0.01|0.5|0.5 : 9.452 \pm 0.307
RMSE Adam MAP|1|0.5|0.1|0.1 : 9.427 \pm 0.295
RMSE Adam MAP|1|0.5|0.5|0.5 : 9.427 \pm 0.295
RMSE Adam MAP|1|0.5|0.9|0.9 : 9.427 \pm 0.295
RMSE Adagrad MAP|1|0.5 : 9.426 \pm 0.295
RMSE RMSprop MAP|1|0.5|0.9 : 9.426 \pm 0.295
RMSE RMSprop MAP|1|0.5|0.5 : 9.426 \pm 0.295
RMSE RMSprop MAP|1|0.5|0.1 : 9.426 \pm 0.295
RMSE Adam MAP|25|0.05|0.1|0.1 : 9.418 \pm 0.295
RMSE Adagrad MAP|1|1.0 : 9.392 \pm 0.299
RMSE RMSprop MAP|1|1.0|0.9 : 9.392 \pm 0.299
RMSE RMSprop MAP|1|1.0|0.5 : 9.392 \pm 0.299
RMSE RMSprop MAP|1|1.0|0.1 : 9.392 \pm 0.299
RMSE Adam MAP|1|1.0|0.9|0.9 : 9.389 \pm 0.299
RMSE Adam MAP|1|1.0|0.5|0.5 : 9.389 \pm 0.299
RMSE Adam MAP|1|1.0|0.1|0.1 : 9.389 \pm 0.299
RMSE RMSprop MAP|10|0.05|0.1 : 9.359 \pm 0.271
RMSE RMSprop MAP|25|0.05|0.5 : 9.351 \pm 0.305
RMSE RMSprop MAP|50|0.01|0.5 : 9.328 \pm 0.272
RMSE RMSprop MAP|50|0.01|0.1 : 9.315 \pm 0.281
RMSE Adagrad MAP|25|0.05 : 9.307 \pm 0.267
RMSE Adagrad MAP|100|0.05 : 9.306 \pm 0.284
RMSE RMSprop MAP|5|0.1|0.1 : 9.304 \pm 0.273
RMSE RMSprop MAP|10|0.1|0.5 : 9.295 \pm 0.278
RMSE RMSprop MAP|100|0.01|0.9 : 9.290 \pm 0.284
RMSE RMSprop MAP|10|0.1|0.1 : 9.288 \pm 0.288
RMSE Adagrad MAP|25|0.1 : 9.288 \pm 0.271
RMSE RMSprop MAP|25|0.05|0.1 : 9.287 \pm 0.308
RMSE RMSprop MAP|100|0.01|0.5 : 9.271 \pm 0.286
RMSE Adam MAP|10|0.05|0.9|0.9 : 9.267 \pm 0.287
RMSE Adam MAP|50|0.01|0.1|0.1 : 9.265 \pm 0.260
RMSE RMSprop MAP|10|0.05|0.5 : 9.261 \pm 0.263
RMSE Adam MAP|100|0.01|0.1|0.1 : 9.257 \pm 0.279
RMSE RMSprop MAP|10|0.05|0.9 : 9.257 \pm 0.252
RMSE Adam MAP|10|0.05|0.1|0.1 : 9.255 \pm 0.271
RMSE Adam MAP|5|0.1|0.1|0.1 : 9.244 \pm 0.266
RMSE RMSprop MAP|5|0.1|0.9 : 9.243 \pm 0.253
RMSE RMSprop MAP|50|1.0|0.9 : 9.232 \pm 0.756
RMSE RMSprop MAP|100|0.01|0.1 : 9.227 \pm 0.288
RMSE Adagrad MAP|10|0.1 : 9.223 \pm 0.251
RMSE Adam MAP|10|0.1|0.1|0.1 : 9.218 \pm 0.291
RMSE RMSprop MAP|50|0.01|0.9 : 9.212 \pm 0.255
RMSE RMSprop MAP|5|0.1|0.5 : 9.200 \pm 0.257
RMSE RMSprop MAP|100|0.5|0.9 : 9.178 \pm 0.757
RMSE Adagrad MAP|50|0.05 : 9.164 \pm 0.269
RMSE Adam MAP|25|0.01|0.9|0.9 : 9.098 \pm 0.276
RMSE Adam MAP|5|0.1|0.5|0.5 : 9.097 \pm 0.276
RMSE Adam MAP|50|0.01|0.5|0.5 : 9.096 \pm 0.274
RMSE Adam MAP|5|0.1|0.9|0.9 : 9.095 \pm 0.279
RMSE Adam MAP|10|0.05|0.5|0.5 : 9.093 \pm 0.277
RMSE GD MAP|1|0.1 : 8.992 \pm 0.166
RMSE GD MAP|10|0.01 : 8.987 \pm 0.167
RMSE GD MAP|3|0.05 : 8.550 \pm 0.160
RMSE Adam MAP|100|0.1|0.5|0.5 : 8.498 \pm 0.697
RMSE RMSprop MAP|10|0.5|0.9 : 8.275 \pm 0.311
RMSE GD MAP|5|0.1 : 8.222 \pm 0.214
RMSE GD MAP|50|0.01 : 8.209 \pm 0.200
RMSE GD MAP|10|0.05 : 8.151 \pm 0.202
RMSE GD MAP|1|0.5 : 8.112 \pm 0.196
RMSE GD MAP|25|0.01 : 8.090 \pm 0.179
RMSE GD MAP|5|0.05 : 8.061 \pm 0.168
RMSE GD MAP|3|0.1 : 7.966 \pm 0.180
RMSE RMSprop MAP|25|0.1|0.9 : 7.912 \pm 0.221
RMSE RMSprop MAP|10|1.0|0.1 : 7.898 \pm 0.359
RMSE Adam MAP|10|1.0|0.1|0.1 : 7.770 \pm 0.371
RMSE Adagrad MAP|5|1.0 : 7.273 \pm 0.230
RMSE RMSprop MAP|5|0.5|0.9 : 6.973 \pm 0.189
RMSE Adagrad MAP|50|0.5 : 6.912 \pm 0.277
RMSE RMSprop MAP|3|1.0|0.9 : 6.767 \pm 0.205
RMSE RMSprop MAP|5|1.0|0.1 : 6.634 \pm 0.218
RMSE Adam MAP|100|0.1|0.1|0.1 : 6.575 \pm 0.347
RMSE Adagrad MAP|25|0.5 : 6.549 \pm 0.223
RMSE Adagrad MAP|10|1.0 : 6.539 \pm 0.234
RMSE RMSprop MAP|100|0.1|0.5 : 6.501 \pm 0.320
RMSE Adam MAP|5|1.0|0.1|0.1 : 6.467 \pm 0.196
RMSE RMSprop MAP|100|0.1|0.1 : 6.407 \pm 0.322
RMSE RMSprop MAP|5|1.0|0.5 : 6.391 \pm 0.230
RMSE RMSprop MAP|50|0.1|0.9 : 6.380 \pm 0.230
RMSE RMSprop MAP|10|0.5|0.1 : 6.293 \pm 0.222
RMSE RMSprop MAP|10|0.5|0.5 : 6.248 \pm 0.240
RMSE Adam MAP|10|0.5|0.9|0.9 : 6.205 \pm 0.241
RMSE RMSprop MAP|100|0.05|0.9 : 6.201 \pm 0.236
RMSE Adam MAP|5|1.0|0.9|0.9 : 6.112 \pm 0.239
RMSE Adam MAP|10|0.5|0.1|0.1 : 6.059 \pm 0.221
RMSE Adam MAP|25|0.1|0.9|0.9 : 6.027 \pm 0.238
RMSE RMSprop MAP|50|0.1|0.5 : 6.018 \pm 0.223
RMSE RMSprop MAP|100|0.05|0.5 : 6.010 \pm 0.229
RMSE RMSprop MAP|50|0.1|0.1 : 6.000 \pm 0.227
RMSE RMSprop MAP|100|0.05|0.1 : 5.987 \pm 0.225
RMSE Adam MAP|5|1.0|0.5|0.5 : 5.973 \pm 0.218
RMSE Adam MAP|50|0.05|0.9|0.9 : 5.963 \pm 0.224
RMSE Adam MAP|10|0.5|0.5|0.5 : 5.953 \pm 0.219
RMSE Adam MAP|50|0.1|0.1|0.1 : 5.842 \pm 0.231
RMSE Adam MAP|100|0.05|0.1|0.1 : 5.830 \pm 0.232
RMSE Adam MAP|50|0.1|0.5|0.5 : 5.794 \pm 0.216
RMSE Adam MAP|100|0.05|0.5|0.5 : 5.780 \pm 0.220
RMSE UKF : 5.762 \pm 0.270
RMSE PF : 2.800 \pm 0.108
